
---------- Begin Simulation Statistics ----------
simSeconds                                   1.655801                       # Number of seconds simulated (Second)
simTicks                                 1655801185500                       # Number of ticks simulated (Tick)
finalTick                                1655801185500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1875.71                       # Real time elapsed on the host (Second)
hostTickRate                                882759350                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2269328                       # Number of bytes of host memory used (Byte)
simInsts                                    500000000                       # Number of instructions simulated (Count)
simOps                                      500000940                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   266566                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     266566                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       3311602372                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               6.623205                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.150984                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       500024948                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       26                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      589885514                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     28                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                24012                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             55665                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  10                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1965900190                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.300059                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.639007                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1527199677     77.68%     77.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 331177182     16.85%     94.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  63936604      3.25%     97.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  43514988      2.21%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     68724      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      2890      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                        74      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        38      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        13      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1965900190                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
